Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
39745,CA-2015-AH10075140-42301,2015/10/24,2015/10/25,First Class,AH-100751406,Adam Hart,Corporate,02920,Cranston,Rhode Island,United States,Eastern US,USCA,FUR-TA-5421,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",$637.90,3,0.3,-$127.58,188.95,Critical
39744,CA-2015-AH10075140-42301,2015/10/24,2015/10/25,First Class,AH-100751406,Adam Hart,Corporate,02920,Cranston,Rhode Island,United States,Eastern US,USCA,FUR-FU-3936,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,$210.68,2,0,$50.56,79.52,Critical
39742,CA-2015-AH10075140-42301,2015/10/24,2015/10/25,First Class,AH-100751406,Adam Hart,Corporate,02920,Cranston,Rhode Island,United States,Eastern US,USCA,FUR-TA-4943,Furniture,Tables,KI Adjustable-Height Table,$240.74,4,0.3,-$13.76,68.01,Critical
32221,CA-2014-AH10075140-41898,2014/9/16,2014/9/21,Standard Class,AH-100751406,Adam Hart,Corporate,10011,New York City,New York,United States,Eastern US,USCA,OFF-BI-4338,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,$841.57,2,0.2,$294.55,57.49,Medium
39983,CA-2014-AH10075140-41817,2014/6/27,2014/6/27,Same Day,AH-100751404,Adam Hart,Corporate,90036,Los Angeles,California,United States,Western US,USCA,OFF-SU-5635,Office Supplies,Supplies,Premier Electric Letter Opener,$231.72,2,0,$11.59,43.08,Critical
33163,CA-2015-AH10075140-42110,2015/4/16,2015/4/19,First Class,AH-100751404,Adam Hart,Corporate,89015,Henderson,Nevada,United States,Western US,USCA,FUR-FU-4756,Furniture,Furnishings,"Howard Miller 12"" Round Wall Clock",$196.45,5,0,$70.72,36.52,Medium
39711,CA-2014-AH10075140-41991,2014/12/18,2014/12/22,Standard Class,AH-100751402,Adam Hart,Corporate,76017,Arlington,Texas,United States,Central US,USCA,TEC-AC-6351,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,$165.60,3,0.2,-$6.21,11.15,Medium
39743,CA-2015-AH10075140-42301,2015/10/24,2015/10/25,First Class,AH-100751406,Adam Hart,Corporate,02920,Cranston,Rhode Island,United States,Eastern US,USCA,FUR-FU-4022,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",$35.00,4,0,$14.70,8.98,Critical
38383,CA-2015-AH10075140-42273,2015/9/26,2015/9/29,First Class,AH-100751406,Adam Hart,Corporate,19013,Chester,Pennsylvania,United States,Eastern US,USCA,OFF-SU-3839,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,$190.90,2,0.2,-$42.95,8.72,Medium
37340,CA-2015-AH10075140-42144,2015/5/20,2015/5/25,Second Class,AH-100751408,Adam Hart,Corporate,37918,Knoxville,Tennessee,United States,Southern US,USCA,FUR-CH-5429,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,$314.35,3,0.2,-$35.36,6.19,Medium
39746,CA-2015-AH10075140-42301,2015/10/24,2015/10/25,First Class,AH-100751406,Adam Hart,Corporate,02920,Cranston,Rhode Island,United States,Eastern US,USCA,OFF-PA-6415,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",$43.44,8,0,$21.29,5.97,Critical
39710,CA-2014-AH10075140-41991,2014/12/18,2014/12/22,Standard Class,AH-100751402,Adam Hart,Corporate,76017,Arlington,Texas,United States,Central US,USCA,OFF-PA-6577,Office Supplies,Paper,Xerox 214,$51.84,10,0.2,$18.14,4.93,Medium
39984,CA-2014-AH10075140-41817,2014/6/27,2014/6/27,Same Day,AH-100751404,Adam Hart,Corporate,90036,Los Angeles,California,United States,Western US,USCA,OFF-FA-5459,Office Supplies,Fasteners,OIC Binder Clips,$17.90,5,0,$8.95,4.89,Critical
39985,CA-2014-AH10075140-41817,2014/6/27,2014/6/27,Same Day,AH-100751404,Adam Hart,Corporate,90036,Los Angeles,California,United States,Western US,USCA,OFF-PA-3115,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",$12.48,2,0,$5.62,2.73,Critical
32866,CA-2015-AH10075140-42335,2015/11/27,2015/12/1,Standard Class,AH-100751408,Adam Hart,Corporate,30318,Atlanta,Georgia,United States,Southern US,USCA,OFF-AR-5327,Office Supplies,Art,Newell 347,$12.84,3,0,$3.72,1.88,Medium
39747,CA-2015-AH10075140-42301,2015/10/24,2015/10/25,First Class,AH-100751406,Adam Hart,Corporate,02920,Cranston,Rhode Island,United States,Eastern US,USCA,OFF-AP-4739,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,$2.22,1,0,$0.67,1.64,Critical
36279,CA-2012-AH10075140-41228,2012/11/15,2012/11/21,Standard Class,AH-100751404,Adam Hart,Corporate,92646,Huntington Beach,California,United States,Western US,USCA,OFF-LA-5591,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,$5.22,2,0,$2.40,1.51,Medium
39051,CA-2013-AH10075140-41629,2013/12/21,2013/12/23,Second Class,AH-100751406,Adam Hart,Corporate,43229,Columbus,Ohio,United States,Eastern US,USCA,OFF-AR-5458,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",$3.01,2,0.2,$0.34,1.38,High
38382,CA-2015-AH10075140-42273,2015/9/26,2015/9/29,First Class,AH-100751406,Adam Hart,Corporate,19013,Chester,Pennsylvania,United States,Eastern US,USCA,OFF-BI-3301,Office Supplies,Binders,Avery Metallic Poly Binders,$8.60,5,0.7,-$6.30,1.37,Medium
37341,CA-2015-AH10075140-42144,2015/5/20,2015/5/25,Second Class,AH-100751408,Adam Hart,Corporate,37918,Knoxville,Tennessee,United States,Southern US,USCA,OFF-PA-6504,Office Supplies,Paper,Xerox 1949,$27.89,7,0.2,$10.11,1.26,Medium
34756,CA-2015-AS10090140-42264,2015/9/17,2015/9/19,First Class,AS-100901406,Adam Shillingsburg,Consumer,19143,Philadelphia,Pennsylvania,United States,Eastern US,USCA,OFF-BI-4343,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,$538.19,2,0.7,-$412.62,209.3,Critical
40955,CA-2012-AS10090140-41173,2012/9/21,2012/9/28,Standard Class,AS-100901406,Adam Shillingsburg,Consumer,10035,New York City,New York,United States,Eastern US,USCA,FUR-CH-5430,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,$579.53,4,0.1,$83.71,64.56,Medium
33285,CA-2013-AS10090140-41587,2013/11/9,2013/11/13,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,65807,Springfield,Missouri,United States,Central US,USCA,FUR-TA-3427,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,"$1,024.38",7,0,$215.12,62.17,Medium
36524,CA-2014-AS10090140-41812,2014/6/22,2014/6/27,Standard Class,AS-100901406,Adam Shillingsburg,Consumer,10011,New York City,New York,United States,Eastern US,USCA,FUR-BO-5529,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,$353.57,2,0.2,-$44.20,48.18,High
34753,CA-2015-AS10090140-42264,2015/9/17,2015/9/19,First Class,AS-100901406,Adam Shillingsburg,Consumer,19143,Philadelphia,Pennsylvania,United States,Eastern US,USCA,TEC-AC-5138,Technology,Accessories,Logitech Trackman Marble Mouse,$71.98,3,0.2,$19.79,16.53,Critical
36523,CA-2014-AS10090140-41812,2014/6/22,2014/6/27,Standard Class,AS-100901406,Adam Shillingsburg,Consumer,10011,New York City,New York,United States,Eastern US,USCA,OFF-BI-5638,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",$186.14,6,0.2,$60.50,15.46,High
34757,CA-2015-AS10090140-42264,2015/9/17,2015/9/19,First Class,AS-100901406,Adam Shillingsburg,Consumer,19143,Philadelphia,Pennsylvania,United States,Eastern US,USCA,TEC-AC-5094,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,$47.98,2,0.2,$14.40,13.56,Critical
33698,CA-2015-AS10090140-42096,2015/4/2,2015/4/5,Second Class,AS-100901402,Adam Shillingsburg,Consumer,65807,Springfield,Missouri,United States,Central US,USCA,OFF-ST-4516,Office Supplies,Storage,Hanging Personal Folder File,$94.20,6,0,$23.55,12.42,High
34754,CA-2015-AS10090140-42264,2015/9/17,2015/9/19,First Class,AS-100901406,Adam Shillingsburg,Consumer,19143,Philadelphia,Pennsylvania,United States,Eastern US,USCA,FUR-FU-4050,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",$22.51,3,0.2,$2.25,5.83,Critical
40952,CA-2012-AS10090140-41173,2012/9/21,2012/9/28,Standard Class,AS-100901406,Adam Shillingsburg,Consumer,10035,New York City,New York,United States,Eastern US,USCA,FUR-FU-3844,Furniture,Furnishings,"Computer Room Manger, 14""",$97.44,3,0,$35.08,5.5,Medium
33191,US-2015-AS10090140-42341,2015/12/3,2015/12/6,First Class,AS-100901408,Adam Shillingsburg,Consumer,22901,Charlottesville,Virginia,United States,Southern US,USCA,OFF-AR-5285,Office Supplies,Art,Newell 309,$34.65,3,0,$10.40,4.99,Medium
33699,CA-2015-AS10090140-42096,2015/4/2,2015/4/5,Second Class,AS-100901402,Adam Shillingsburg,Consumer,65807,Springfield,Missouri,United States,Central US,USCA,OFF-FA-6129,Office Supplies,Fasteners,Staples,$28.40,5,0,$13.35,4.46,High
40245,CA-2012-AS10090140-41266,2012/12/23,2012/12/25,First Class,AS-100901404,Adam Shillingsburg,Consumer,92037,San Diego,California,United States,Western US,USCA,OFF-AP-3367,Office Supplies,Appliances,Belkin 7-Outlet SurgeMaster Home Series,$13.97,1,0,$3.63,2.16,High
33286,CA-2013-AS10090140-41587,2013/11/9,2013/11/13,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,65807,Springfield,Missouri,United States,Central US,USCA,OFF-EN-2848,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",$26.22,3,0,$12.32,2.15,Medium
36522,CA-2014-AS10090140-41812,2014/6/22,2014/6/27,Standard Class,AS-100901406,Adam Shillingsburg,Consumer,10011,New York City,New York,United States,Eastern US,USCA,OFF-BI-6094,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,$36.56,5,0.2,$12.80,2.02,High
39145,CA-2014-AS10090140-41762,2014/5/3,2014/5/7,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,75061,Irving,Texas,United States,Central US,USCA,OFF-ST-3078,Office Supplies,Storage,Akro Stacking Bins,$18.94,3,0.2,-$3.79,1.79,Medium
37405,CA-2014-AS10090140-41894,2014/9/12,2014/9/17,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,60653,Chicago,Illinois,United States,Central US,USCA,OFF-LA-6021,Office Supplies,Labels,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,$6.00,2,0.2,$2.10,1.46,High
39146,CA-2014-AS10090140-41762,2014/5/3,2014/5/7,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,75061,Irving,Texas,United States,Central US,USCA,OFF-ST-6158,Office Supplies,Storage,Sterilite Show Offs Storage Containers,$12.67,3,0.2,-$3.17,1.42,Medium
39147,CA-2014-AS10090140-41762,2014/5/3,2014/5/7,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,75061,Irving,Texas,United States,Central US,USCA,OFF-LA-3224,Office Supplies,Labels,Avery 502,$5.04,2,0.2,$1.76,1.35,Medium
34755,CA-2015-AS10090140-42264,2015/9/17,2015/9/19,First Class,AS-100901406,Adam Shillingsburg,Consumer,19143,Philadelphia,Pennsylvania,United States,Eastern US,USCA,OFF-BI-3473,Office Supplies,Binders,Binder Posts,$3.44,2,0.7,-$2.76,1.31,Critical
33284,CA-2013-AS10090140-41587,2013/11/9,2013/11/13,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,65807,Springfield,Missouri,United States,Central US,USCA,OFF-BI-3473,Office Supplies,Binders,Binder Posts,$17.22,3,0,$7.92,1.3,Medium
33287,CA-2013-AS10090140-41587,2013/11/9,2013/11/13,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,65807,Springfield,Missouri,United States,Central US,USCA,OFF-PA-6535,Office Supplies,Paper,Xerox 1978,$17.34,3,0,$8.50,1.24,Medium
40953,CA-2012-AS10090140-41173,2012/9/21,2012/9/28,Standard Class,AS-100901406,Adam Shillingsburg,Consumer,10035,New York City,New York,United States,Eastern US,USCA,OFF-BI-3729,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,$3.98,1,0.2,$1.39,1.22,Medium
40954,CA-2012-AS10090140-41173,2012/9/21,2012/9/28,Standard Class,AS-100901406,Adam Shillingsburg,Consumer,10035,New York City,New York,United States,Eastern US,USCA,OFF-AR-3285,Office Supplies,Art,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",$13.04,4,0,$5.74,1.16,Medium
37406,CA-2014-AS10090140-41894,2014/9/12,2014/9/17,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,60653,Chicago,Illinois,United States,Central US,USCA,OFF-BI-4884,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,$1.91,3,0.8,-$3.24,1.11,High
40336,CA-2014-AB10105140-41991,2014/12/18,2014/12/22,Standard Class,AB-101051402,Adrian Barton,Consumer,48205,Detroit,Michigan,United States,Central US,USCA,OFF-BI-4345,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,"$9,892.74",13,0,"$4,946.37",498.7,Medium
35208,CA-2015-AB10105140-42161,2015/6/6,2015/6/7,First Class,AB-101051402,Adrian Barton,Consumer,77581,Pearland,Texas,United States,Central US,USCA,TEC-PH-5089,Technology,Phones,LG G3,$470.38,3,0.2,$52.92,137.41,High
33848,CA-2015-AB10105140-42328,2015/11/20,2015/11/24,Standard Class,AB-101051408,Adrian Barton,Consumer,42420,Henderson,Kentucky,United States,Southern US,USCA,FUR-FU-2871,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",$821.88,6,0,$213.69,83.56,Medium
